🕘️更新时间,#genre#
2026-09-20 21:51:24,http://d029dcec.kazmazpaz.ru/iptv/FHKC2D3GGKYK3Q/6499/index.m3u8

,#genre#
CNN,http://d029dcec.kazmazpaz.ru/iptv/FHKC2D3GGKYK3Q/6499/index.m3u8
Discovery,http://ott.watch/stream/E9LDH2ZCN7/146.m3u8
HBO,http://31.43.191.125:8080/restream/restream/34571
北京卫视,http://satellitepull.cnr.cn/live/wxbtv/playlist.m3u8
博斯高球1,http://31.43.191.125:8080/restream/restream/34882
博斯运动2,http://31.43.191.125:8080/restream/restream/34883
凤凰中文,rtmp://oc-play-ali.vipkid.com.cn/live/xianajiaoge-fhzw
凤凰资讯,rtmp://oc-play-ali.vipkid.com.cn/live/xianajiaoge-fhzx
公视,http://31.43.191.125:8080/restream/restream/34891
公视,http://211.72.174.95:8116/0.ts
湖南卫视,http://satellitepull.cnr.cn/live/wx32hunws/playlist.m3u8
湖南卫视,http://www.yao87.com:4022/udp/239.76.246.101:1234
江苏卫视,http://drive.mxmy.net:8888/udp/239.3.1.135:8028
龙华偶像,http://31.43.191.125:8080/restream/restream/34830
龙华洋片,http://31.43.191.125:8080/restream/restream/34828
民视,http://74.91.26.218:82/live/ftv.m3u8
民视,http://37.27.111.214:8080/live/6/hls.m3u8
台视,http://173.208.234.146/live/ttvzh.m3u8
台视,http://74.91.26.218:82/live/ttv.m3u8
台视,http://38.64.72.148/hls/modn/list/4013/chunklist1.m3u8
中视,http://211.72.174.95:8113/0.ts
中天新闻,rtmp://vip.huahong.pro/live/xingjiaoge-ztxw2
中天新闻,rtmp://digital-live-pull.zegonetwork.com/live/nb-py-ztxw
